co_cnes,co_ibge,origem_dado,data_atualizacao,lat,long
19275,"420540","PMAQ","2015-05-27","-27.5798","-48.54433"
19348,"420540","PMAQ","2015-05-27","-27.676059999999996","-48.48622"
19364,"420540","PMAQ","2015-05-27","-27.65015","-48.522459999999995"
19399,"420540","PMAQ","2015-05-27","-27.445973","-48.4038094"
19453,"420540","PMAQ","2015-05-27","-27.579535245894604","-48.583474159239294"
19488,"420540","PMAQ","2015-05-27","-27.59055","-48.5963"
19496,"420540","PMAQ","2015-05-27","-27.6153588294975","-48.526933193205394"
19518,"420540","PMAQ","2015-05-27","-27.586809396743003","-48.5992026329026"
19542,"420540","PMAQ","2015-05-27","-27.608459999999997","-48.59408"
19550,"420540","PMAQ","2015-05-27","-27.59477","-48.58128"
19577,"420540","PMAQ","2015-05-27","-27.7071","-48.50985"
19585,"420540","PMAQ","2015-05-27","-27.66215","-48.53748"
19615,"420540","PMAQ","2015-05-27","-27.6812","-48.49372"
19658,"420540","PMAQ","2015-05-27","-27.68706","-48.55625"
19666,"420540","PMAQ","2015-05-27","-27.779770000000003","-48.50797"
19690,"420540","PMAQ","2015-05-27","-27.614620000000002","-48.516220000000004"
19712,"420540","PMAQ","2015-05-27","-27.582890000000003","-48.59408"
19739,"420540","PMAQ","2015-05-27","-27.59474","-48.54123"
19747,"420540","PMAQ","2015-05-27","-27.5877955485499","-48.54763737819329"
19763,"420540","PMAQ","2015-05-27","-27.703828811644698","-48.534035682676794"
19771,"420540","PMAQ","2015-05-27","-27.445973","-48.4038094"
19801,"420540","PMAQ","2015-05-27","-27.588729999999998","-48.59962"
19852,"420540","PMAQ","2015-05-27","-27.709709999999998","-48.50247"
19976,"420540","PMAQ","2015-05-27","-27.542467117308803","-48.461251258848705"
20028,"420540","PMAQ","2015-05-27","-27.5904","-48.59254"
20036,"420540","PMAQ","2015-05-27","-27.5964","-48.54582"
20087,"420540","PMAQ","2015-05-27","-27.5877955485499","-48.54763737819329"
2027550,"355150","SISMOB","2015-05-27","-21.2163154519384","-47.5918319821358"
2035278,"355100","SISMOB","2015-05-27","-23.9503907002106","-46.40631437301639"
2051850,"355040","SISMOB","2015-05-27","-22.5529146322333","-47.8993391990662"
2071266,"355330","SISMOB","2015-05-27","-21.702144092449604","-47.263906847476996"
2299747,"420519","PMAQ","2015-05-27","-28.983778953551397","-49.6418309211717"
2299755,"420519","PMAQ","2015-05-27","-28.983778953551397","-49.6418309211717"
